nshoots;hormone;period;period2;hormone2;period3;hormone3
1;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
1;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
1;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
2;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
2;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
3;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
3;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
3;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
4;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
4;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
4;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
4;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
4;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
4;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
5;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
5;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
5;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
6;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
6;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
7;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
7;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
8;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
8;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
8;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
9;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
10;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
10;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
11;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
13;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
17;1;1;8;2,2;Photoperiod: 16 hours;BAP (?M): 4.4
2;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
2;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
2;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
4;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
6;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
6;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
6;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
7;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
7;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
7;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
7;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
7;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
7;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
7;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
8;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
8;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
8;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
9;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
9;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
9;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
9;2;1;8;4,4;Photoperiod: 16 hours;BAP (?M): 8.8
